band	id	simp	unit	missing
band6	L6-0001	挨着	b6-grammar	zh+en
band6	L6-0003	挨打	b6-grammar	zh+en
band6	L6-0007	白领	b6-grammar	zh+en
band6	L6-0008	百分点	b6-grammar	zh+en
band6	L6-0011	办学	b6-grammar	zh+en
band6	L6-0016	报考	b6-grammar	zh+en
band6	L6-0032	本期	b6-grammar	zh+en
band6	L6-0037	笔试	b6-grammar	zh+en
band6	L6-0038	必将	b6-grammar	zh+en
band6	L6-0042	编制	b6-grammar	zh+en
band6	L6-0044	变更	b6-grammar	zh+en
band6	L6-0045	变换	b6-grammar	zh+en
band6	L6-0050	表面上	b6-grammar	zh+en
band6	L6-0059	不料	b6-grammar	zh+en
band6	L6-0061	不至于	b6-grammar	zh+en
band6	L6-0062	补考	b6-grammar	zh+en
band6	L6-0063	补课	b6-grammar	zh+en
band6	L6-0065	补助	b6-grammar	zh+en
band6	L6-0076	采纳	b6-grammar	zh+en
band6	L6-0079	参展	b6-grammar	zh+en
band6	L6-0082	残疾人	b6-grammar	zh+en
band6	L6-0090	测定	b6-grammar	zh+en
band6	L6-0097	拆迁	b6-grammar	zh+en
band6	L6-0099	昌盛	b6-grammar	zh+en
band6	L6-0106	常年	b6-grammar	zh+en
band6	L6-0107	厂商	b6-grammar	zh+en
band6	L6-0109	场馆	b6-grammar	zh+en
band6	L6-0110	场景	b6-grammar	zh+en
band6	L6-0111	畅通	b6-grammar	zh+en
band6	L6-0116	炒作	b6-grammar	zh+en
band6	L6-0117	车号	b6-grammar	zh+en
band6	L6-0125	成品	b6-grammar	zh+en
band6	L6-0127	城区	b6-grammar	zh+en
band6	L6-0128	城乡	b6-grammar	zh+en
band6	L6-0133	重组	b6-academic	zh+en
band6	L6-0137	出场	b6-academic	zh+en
band6	L6-0138	出动	b6-academic	zh+en
band6	L6-0139	出访	b6-academic	zh+en
band6	L6-0145	出台	b6-academic	zh+en
band6	L6-0147	初等	b6-academic	zh+en
band6	L6-0151	处处	b6-academic	zh+en
band6	L6-0152	处长	b6-academic	zh+en
band6	L6-0154	传媒	b6-academic	zh+en
band6	L6-0155	传输	b6-academic	zh+en
band6	L6-0166	此次	b6-academic	zh+en
band6	L6-0169	此致	b6-academic	zh+en
band6	L6-0182	打官司	b6-academic	zh+en
band6	L6-0190	大批	b6-academic	zh+en
band6	L6-0191	大赛	b6-academic	zh+en
band6	L6-0194	待会儿	b6-academic	zh+en
band6	L6-0196	单打	b6-academic	zh+en
band6	L6-0216	地名	b6-academic	zh+en
band6	L6-0223	调研	b6-work	zh+en
band6	L6-0225	定价	b6-work	zh+en
band6	L6-0237	短片	b6-work	zh+en
band6	L6-0244	多媒体	b6-work	zh+en
band6	L6-0246	夺取	b6-work	zh+en
band6	L6-0249	发病	b6-work	zh+en
band6	L6-0251	发放	b6-work	zh+en
band6	L6-0263	反问	b6-work	zh+en
band6	L6-0264	反响	b6-work	zh+en
band6	L6-0268	防范	b6-work	zh+en
band6	L6-0269	防守	b6-work	zh+en
band6	L6-0275	分工	b6-work	zh+en
band6	L6-0279	峰会	b6-work	zh+en
band6	L6-0285	父女	b6-work	zh+en
band6	L6-0294	改装	b6-work	zh+en
band6	L6-0299	赶忙	b6-work	zh+en
band6	L6-0301	敢于	b6-work	zh+en
band6	L6-0306	高层	b6-work	zh+en
band6	L6-0310	高考	b6-negotiation	zh+en
band6	L6-0316	歌星	b6-negotiation	zh+en
band6	L6-0317	革新	b6-negotiation	zh+en
band6	L6-0319	工商	b6-negotiation	zh+en
band6	L6-0322	公鸡	b6-negotiation	zh+en
band6	L6-0336	股东	b6-negotiation	zh+en
band6	L6-0348	广阔	b6-negotiation	zh+en
band6	L6-0368	好容易	b6-negotiation	zh+en
band6	L6-0372	合约	b6-negotiation	zh+en
band6	L6-0379	衡量	b6-negotiation	zh+en
band6	L6-0390	化解	b6-negotiation	zh+en
band6	L6-0417	加盟	b6-policy	zh+en
band6	L6-0420	嘉宾	b6-policy	zh+en
band6	L6-0421	假日	b6-policy	zh+en
band6	L6-0423	监测	b6-policy	zh+en
band6	L6-0424	监督	b6-policy	zh+en
band6	L6-0426	简介	b6-policy	zh+en
band6	L6-0430	将军	b6-policy	zh+en
band6	L6-0435	焦点	b6-policy	zh+en
band6	L6-0439	教育部	b6-policy	zh+en
band6	L6-0444	节假日	b6-policy	zh+en
band6	L6-0445	节能	b6-policy	zh+en
band6	L6-0446	节奏	b6-policy	zh+en
band6	L6-0454	借鉴	b6-policy	zh+en
band6	L6-0461	近视	b6-policy	zh+en
band6	L6-0471	纠纷	b6-policy	zh+en
band6	L6-0483	捐款	b6-policy	zh+en
band6	L6-0485	捐助	b6-policy	zh+en
band6	L6-0487	觉悟	b6-news	zh+en
band6	L6-0491	军舰	b6-news	zh+en
band6	L6-0493	开创	b6-news	zh+en
band6	L6-0495	开设	b6-news	zh+en
band6	L6-0496	开通	b6-news	zh+en
band6	L6-0502	看得起	b6-news	zh+en
band6	L6-0507	考场	b6-news	zh+en
band6	L6-0508	考题	b6-news	zh+en
band6	L6-0509	科研	b6-news	zh+en
band6	L6-0510	客车	b6-news	zh+en
band6	L6-0513	口试	b6-news	zh+en
band6	L6-0518	宽阔	b6-news	zh+en
band6	L6-0524	栏目	b6-news	zh+en
band6	L6-0525	蓝领	b6-news	zh+en
band6	L6-0534	理财	b6-news	zh+en
band6	L6-0541	凉鞋	b6-news	zh+en
band6	L6-0542	两侧	b6-news	zh+en
band6	L6-0543	两手	b6-news	zh+en
band6	L6-0555	楼道	b6-news	zh+en
band6	L6-0564	绿化	b6-news	zh+en
band6	L6-0569	慢车	b6-science	zh+en
band6	L6-0571	梅花	b6-science	zh+en
band6	L6-0572	美容	b6-science	zh+en
band6	L6-0582	民歌	b6-science	zh+en
band6	L6-0583	民工	b6-science	zh+en
band6	L6-0584	民警	b6-science	zh+en
band6	L6-0585	民意	b6-science	zh+en
band6	L6-0587	名额	b6-science	zh+en
band6	L6-0599	母女	b6-science	zh+en
band6	L6-0600	母子	b6-science	zh+en
band6	L6-0603	奶粉	b6-science	zh+en
band6	L6-0607	内外	b6-science	zh+en
band6	L6-0612	排行榜	b6-science	zh+en
band6	L6-0613	派出	b6-science	zh+en
band6	L6-0618	陪同	b6-science	zh+en
band6	L6-0619	配置	b6-science	zh+en
band6	L6-0630	评选	b6-science	zh+en
band6	L6-0638	起点	b6-science	zh+en
band6	L6-0641	恰当	b6-science	zh+en
band6	L6-0651	强化	b6-tech	zh+en
band6	L6-0652	强势	b6-tech	zh+en
band6	L6-0664	清洁工	b6-tech	zh+en
band6	L6-0665	清明节	b6-tech	zh+en
band6	L6-0670	球星	b6-tech	zh+en
band6	L6-0684	让座	b6-tech	zh+en
band6	L6-0687	热水器	b6-tech	zh+en
band6	L6-0697	乳制品	b6-tech	zh+en
band6	L6-0703	赛场	b6-tech	zh+en
band6	L6-0710	伤亡	b6-tech	zh+en
band6	L6-0711	伤员	b6-tech	zh+en
band6	L6-0719	少儿	b6-tech	zh+en
band6	L6-0723	深化	b6-tech	zh+en
band6	L6-0727	升学	b6-culture	zh+en
band6	L6-0734	师生	b6-culture	zh+en
band6	L6-0746	试点	b6-culture	zh+en
band6	L6-0754	首脑	b6-culture	zh+en
band6	L6-0755	首席	b6-culture	zh+en
band6	L6-0760	双打	b6-culture	zh+en
band6	L6-0767	司长	b6-culture	zh+en
band6	L6-0784	叹气	b6-culture	zh+en
band6	L6-0806	通报	b6-health	zh+en
band6	L6-0811	通讯	b6-health	zh+en
